year,award,institution
2026,McLaren Futures Family Fellowship,University of Colorado Boulder
2025 – 2026,Outstanding TA Award,University of Colorado Boulder
2023,Founder’s Fellowship,University of Colorado Boulder
2023,Service Award,University of Colorado Boulder
2022,Early Career Professional Development Fellowship,University of Colorado Boulder
2016,Travel Award,University of Calgary
2014 – 2015,Research Award,University of Calgary
2014,International Recruitment Graduate Award,University of Calgary
2014,International Student Differential Fee Reimbursement Award,University of Calgary
2008,OIC Undergraduate Student Scholarship,Islamic University of Technology
